Topic (Required),Topic Description (Optional),"Topic Type (Optional: 0=vocab,1=grammar,2=phrases,3=script,4=misc)",Native Text (Required),Native Context Line (Optional),Translation Text (Required),Translation Context Line (Optional),Translation Hint (Optional),Pronunciation Override (Optional)
vocab,,0,阿姨,,maternal aunt,,,ā yí
vocab,,0,啊,,modal particle ending sentence,,,a
vocab,,0,矮,,low,,,ǎi
vocab,,0,爱好,,to like,,,ài hào
vocab,,0,安静,,quiet,,,ān jìng
vocab,,0,把,,to hold,,,bǎ
vocab,,0,搬,,to move,,,bān
vocab,,0,班,,team,,,bān
vocab,,0,半,,half,,,bàn
vocab,,0,办法,,means,,,bàn fǎ
vocab,,0,办公室,,office,,,bàn gōng shì
vocab,,0,帮忙,,to help,,,bāng máng
vocab,,0,包,,to cover,,,bāo
vocab,,0,饱,,to eat till full,,,bǎo
vocab,,0,北方,,north,,,běi fāng
vocab,,0,被,,quilt,,,bèi
vocab,,0,鼻子,,nose,,,bí zi
vocab,,0,比较,,to compare,,,bǐ jiào
vocab,,0,比赛,,competition (sports etc),,,bǐ sài
vocab,,0,必须,,to have to,,,bì xū
vocab,,0,变化,,change,,,biàn huà
vocab,,0,表示,,to express,,,biǎo shì
vocab,,0,表演,,play,,,biǎo yǎn
vocab,,0,别人,,other people,,,bié ren
vocab,,0,宾馆,,guesthouse,,,bīn guǎn
vocab,,0,冰箱,,icebox,,,bīng xiāng
vocab,,0,才,,a moment ago,,,cái
vocab,,0,菜单,,menu,,,cài dān
vocab,,0,参加,,to participate,,,cān jiā
vocab,,0,草,,grass,,,cǎo
vocab,,0,层,,layer,,,céng
vocab,,0,差,,to differ from,,,chà
vocab,,0,超市,,supermarket (abbr.),,,chāo shì
vocab,,0,衬衫,,shirt,,,chèn shān
vocab,,0,成绩,,achievement,,,chéng jì
vocab,,0,城市,,city,,,chéng shì
vocab,,0,迟到,,to arrive late,,,chí dào
vocab,,0,出现,,to appear,,,chū xiàn
vocab,,0,除了,,besides,,,chú le
vocab,,0,厨房,,kitchen,,,chú fáng
vocab,,0,春,,spring (time),,,chūn
vocab,,0,词语,,word (general term including monosyllables through to short phrases),,,cí yǔ
vocab,,0,聪明,,acute (of sight and hearing),,,cōng ming
vocab,,0,打扫,,to clean,,,dǎ sǎo
vocab,,0,打算,,to plan,,,dǎ suàn
