Topic (Required),Topic Description (Optional),"Topic Type (Optional: 0=vocab,1=grammar,2=phrases,3=script,4=misc)",Native Text (Required),Native Context Line (Optional),Translation Text (Required),Translation Context Line (Optional),Translation Hint (Optional),Pronunciation Override (Optional)
vocab,,0,唉,,interjection or grunt of agreement,,,āi
vocab,,0,爱护,,to cherish,,,ài hù
vocab,,0,爱惜,,to cherish,,,ài xī
vocab,,0,爱心,,compassion,,,ài xīn
vocab,,0,安慰,,to comfort,,,ān wèi
vocab,,0,安装,,to install,,,ān zhuāng
vocab,,0,岸,,bank,,,àn
vocab,,0,把握,,to grasp (also fig.),,,bǎ wò
vocab,,0,摆,,to arrange,,,bǎi
vocab,,0,班主任,,teacher in charge of a class,,,bān zhǔ rèn
vocab,,0,办理,,to handle,,,bàn lǐ
vocab,,0,棒,,a stick,,,bàng
vocab,,0,傍晚,,in the evening,,,bàng wǎn
vocab,,0,包裹,,wrap up,,,bāo guǒ
vocab,,0,包含,,to contain,,,bāo hán
vocab,,0,包子,,steamed stuffed bun,,,bāo zi
vocab,,0,薄,,thin,,,báo
vocab,,0,宝贝,,treasured object,,,bǎo bèi
vocab,,0,宝贵,,valuable,,,bǎo guì
vocab,,0,保持,,to keep,,,bǎo chí
vocab,,0,保存,,to conserve,,,bǎo cún
vocab,,0,保留,,to retain,,,bǎo liú
vocab,,0,保险,,insurance,,,bǎo xiǎn
vocab,,0,报告,,to inform,,,bào gào
vocab,,0,悲观,,pessimistic,,,bēi guān
vocab,,0,被子,,quilt,,,bèi zi
vocab,,0,背,,the back of a body or object,,,bèi
vocab,,0,背景,,background,,,bèi jǐng
vocab,,0,本科,,undergraduate course,,,běn kē
vocab,,0,本领,,skill,,,běn lǐng
vocab,,0,本质,,essence,,,běn zhì
vocab,,0,比例,,proportion,,,bǐ lì
vocab,,0,比如,,for example,,,bǐ rú
vocab,,0,彼此,,each other,,,bǐ cǐ
vocab,,0,必然,,inevitable,,,bì rán
vocab,,0,必需,,to need,,,bì xū
vocab,,0,必要,,necessary,,,bì yào
vocab,,0,毕竟,,after all,,,bì jìng
vocab,,0,避免,,to avert,,,bì miǎn
vocab,,0,鞭炮,,firecrackers,,,biān pào
vocab,,0,编辑,,to edit,,,biān jí
vocab,,0,便,,ordinary,,,biàn
vocab,,0,辩论,,debate,,,biàn lùn
vocab,,0,标点,,punctuation,,,biāo diǎn
vocab,,0,标志,,sign,,,biāo zhì
vocab,,0,表面,,surface,,,biǎo miàn
vocab,,0,表明,,to make clear,,,biǎo míng
vocab,,0,表情,,(facial) expression,,,biǎo qíng
vocab,,0,表现,,to show,,,biǎo xiàn
vocab,,0,丙,,third of 10 heavenly stems 十天干,,,bǐng
vocab,,0,病毒,,virus,,,bìng dú
vocab,,0,玻璃,,glass,,,bō li
vocab,,0,博物馆,,museum,,,bó wù guǎn
vocab,,0,脖子,,neck,,,bó zi
vocab,,0,不必,,need not,,,bù bì
vocab,,0,不断,,unceasing,,,bù duàn
vocab,,0,不见得,,not necessarily,,,bù jiàn de
