Topic (Required),Topic Description (Optional),"Topic Type (Optional: 0=vocab,1=grammar,2=phrases,3=script,4=misc)",Native Text (Required),Native Context Line (Optional),Translation Text (Required),Translation Context Line (Optional),Translation Hint (Optional),Pronunciation Override (Optional)
vocab,,0,哎哟,,hey,,,āi yō
vocab,,0,挨,,to suffer,,,ái
vocab,,0,癌症,,cancer,,,ái zhèng
vocab,,0,爱不释手,,to love sth too much to part with it (idiom),,,ài bù shì shǒu
vocab,,0,爱戴,,to love and respect,,,ài dài
vocab,,0,暧昧,,vague,,,ài mèi
vocab,,0,安居乐业,,live in peace and work happily (idiom),,,ān jū lè yè
vocab,,0,安宁,,peaceful,,,ān níng
vocab,,0,安详,,serene,,,ān xiáng
vocab,,0,安置,,to find a place for,,,ān zhì
vocab,,0,暗示,,to hint,,,àn shì
vocab,,0,案件,,law case,,,àn jiàn
vocab,,0,案例,,case (law),,,àn lì
vocab,,0,按摩,,massage,,,àn mó
vocab,,0,昂贵,,expensive,,,áng guì
vocab,,0,凹凸,,bumpy,,,āo tū
vocab,,0,熬,,to cook on a slow fire,,,áo
vocab,,0,奥秘,,secret,,,ào mì
vocab,,0,扒,,to hold on to,,,bā
vocab,,0,疤,,scar,,,bā
vocab,,0,巴不得,,to be eager for,,,bā bù dé
vocab,,0,巴结,,to fawn on,,,bā jie
vocab,,0,拔苗助长,,to spoil things through excessive enthusiasm (idiom),,,bá miáo zhù zhǎng
vocab,,0,把关,,to guard a pass,,,bǎ guān
vocab,,0,把手,,handle,,,bǎ shǒu
vocab,,0,把戏,,acrobatics,,,bǎ xì
vocab,,0,霸道,,the Way of the Hegemon,,,bà dào
vocab,,0,罢工,,a strike,,,bà gōng
vocab,,0,掰,,to break with both hands,,,bāi
vocab,,0,百分点,,percentage point,,,bǎi fēn diǎn
vocab,,0,摆脱,,to break away from,,,bǎi tuō
vocab,,0,拜访,,to pay a visit,,,bài fǎng
vocab,,0,拜年,,pay a New Year call,,,bài nián
vocab,,0,拜托,,to request sb to do sth,,,bài tuō
vocab,,0,败坏,,to ruin,,,bài huài
vocab,,0,颁布,,to issue,,,bān bù
vocab,,0,颁发,,to issue,,,bān fā
vocab,,0,斑纹,,stripe,,,bān wén
vocab,,0,版本,,version,,,bǎn běn
vocab,,0,半途而废,,to give up halfway (idiom); leave sth unfinished,,,bàn tú ér fèi
vocab,,0,伴侣,,companion,,,bàn lǚ
vocab,,0,伴随,,to accompany,,,bàn suí
vocab,,0,扮演,,to play the role of,,,bàn yǎn
vocab,,0,绑架,,to kidnap,,,bǎng jià
vocab,,0,榜样,,example,,,bǎng yàng
vocab,,0,磅,,see 磅秤 scale,,,bàng
vocab,,0,包庇,,to shield,,,bāo bì
vocab,,0,包袱,,cloth-wrapper,,,bāo fu
vocab,,0,包围,,to surround,,,bāo wéi
vocab,,0,包装,,to pack,,,bāo zhuāng
vocab,,0,饱和,,saturation,,,bǎo hé
vocab,,0,饱经沧桑,,having lived through many changes,,,bǎo jīng cāng sāng
vocab,,0,保管,,to assure,,,bǎo guǎn
vocab,,0,保密,,to keep sth confidential,,,bǎo mì
vocab,,0,保姆,,nanny,,,bǎo mǔ
vocab,,0,保守,,(politically) conservative,,,bǎo shǒu
vocab,,0,保卫,,to defend,,,bǎo wèi
vocab,,0,保养,,to take good care of (or conserve) one's health,,,bǎo yǎng
vocab,,0,保障,,to ensure,,,bǎo zhàng
vocab,,0,保重,,to take care of oneself,,,bǎo zhòng
vocab,,0,抱负,,aspiration,,,bào fù
vocab,,0,抱怨,,to complain,,,bào yuàn
vocab,,0,报仇,,to take revenge,,,bào chóu
vocab,,0,报酬,,reward,,,bào chóu
vocab,,0,报答,,to repay,,,bào dá
vocab,,0,报到,,to report for duty,,,bào dào
vocab,,0,报复,,to make reprisals,,,bào fù
vocab,,0,报社,,general office of a newspaper,,,bào shè
vocab,,0,报销,,to submit an expense account,,,bào xiāo
vocab,,0,爆发,,to break out,,,bào fā
